source,apn_given,address_given,address
2015 Registered Foreclosed Properties.csv,2284008043,16643 W NANBERRY RD ,""
2015 Registered Foreclosed Properties.csv,5516017003,152 S WILTON PL ,""
2015 Registered Foreclosed Properties.csv,2610016018,16834 W KNOLLWOOD DR ,""
2015 Registered Foreclosed Properties.csv,2127002007,6437 N GEYSER AVE ,""
2015 Registered Foreclosed Properties.csv,6041027030,320 E 90TH ST ,""
2015 Registered Foreclosed Properties.csv,7410007073,25521 S SENATOR AVE ,""
2015 Registered Foreclosed Properties.csv,4204020084,3631 LA ,""
2015 Registered Foreclosed Properties.csv,2317004005,7750 N BEN AVE ,""
2015 Registered Foreclosed Properties.csv,4295012131,300 W TAHITI WAY ,""
2015 Registered Foreclosed Properties.csv,2619016066,13344 W MERCER ST ,""
2015 Registered Foreclosed Properties.csv,2601062014,11985 REXBON ROAD ,""
2015 Registered Foreclosed Properties.csv,5468009011,5112 E LONGFELLOW ST ,""
2015 Registered Foreclosed Properties.csv,2303006020,7746 N NAGLE AVE ,""
2015 Registered Foreclosed Properties.csv,5018010004,951 W 48TH ST ,""
2015 Registered Foreclosed Properties.csv,2532020028,11260 N SPROULE AVE ,""
2015 Registered Foreclosed Properties.csv,2134008001,19900 W KITTRIDGE ST ,""
2015 Registered Foreclosed Properties.csv,5476004028,4614 N TOWNSEND AVE ,""
2015 Registered Foreclosed Properties.csv,2364010056,4438 N SIMPSON AVE ,""
2015 Registered Foreclosed Properties.csv,2763027011,18730 W LASSEN ST ,""
2015 Registered Foreclosed Properties.csv,2027006014,7361 N WOODVALE CT ,""
2015 Registered Foreclosed Properties.csv,2107006022,20329 W CANTARA ST ,""
2015 Registered Foreclosed Properties.csv,5474040006,1432 N EL PASO DR ,""
2015 Registered Foreclosed Properties.csv,6048008009,1471 E 99TH ST ,""
2015 Registered Foreclosed Properties.csv,2309019006,8215 N BELLINGHAM AVE ,""
2015 Registered Foreclosed Properties.csv,2263031020,14739 W HESBY ST ,""
2015 Registered Foreclosed Properties.csv,7456021016,1523 S CENTRE ST ,""
2015 Registered Foreclosed Properties.csv,5524013003,746 N MANSFIELD AVE ,""
2015 Registered Foreclosed Properties.csv,2261025076,5139 N COLLETT AVE ,""
2015 Registered Foreclosed Properties.csv,2602006026,17204 W COURBET ST ,""
2015 Registered Foreclosed Properties.csv,2642003011,9300 N WOODMAN AVE ,""
2015 Registered Foreclosed Properties.csv,7411015032,26408 S SENATOR AVE ,""
2015 Registered Foreclosed Properties.csv,4244006015,3333 S MOORE ST ,""
2015 Registered Foreclosed Properties.csv,2532021006,11225 N SPROULE AVE ,""
2015 Registered Foreclosed Properties.csv,2314014039,7940 N TUJUNGA AVE ,""
2015 Registered Foreclosed Properties.csv,2686020009,9504 N WHITAKER AVE ,""
