ain,supplied_address,address_from_apn,latitude,longitude,source_files
4006026039,6840 S 11TH AVE ,"6836 11TH AVE, LOS ANGELES CA 90043",46.242578,-96.6162565,2015 Registered Foreclosed Properties.csv
5006022002,5751 S 6TH AVE ,"5751 6TH AVE, LOS ANGELES CA 90043",32.1474922,-110.968018,2015 Registered Foreclosed Properties.csv
5432011017,2507 N MICHELTORENA ST ,"2507 MICHELTORENA ST, LOS ANGELES CA 90039",34.105287,-118.270214,2015 Registered Foreclosed Properties.csv
5045015020,3940 S SOMERSET DR ,"3940 SOMERSET DR, LOS ANGELES CA 90008",40.6316237,-111.9832161,2015 Registered Foreclosed Properties.csv
5544016038,1522 N HARVARD BLVD ,"1522 N HARVARD BLVD, LOS ANGELES CA 90027",34.098901,-118.304032,2015 Registered Foreclosed Properties.csv
5525005032,00807 N SYCAMORE AVE ,"807 N SYCAMORE AVE, NO 2, LOS ANGELES CA 90038",34.1143944,-117.3660053,2015 Registered Foreclosed Properties.csv
2210016018,8042 N NATICK AVE ,"8044 NATICK AVE, LOS ANGELES CA 91402",34.2173719,-118.4543939,2015 Registered Foreclosed Properties.csv
2536009067,11150 N GLENOAKS BLVD ,"11150 GLENOAKS BLVD, NO 226, LOS ANGELES CA 91331",34.2144738,-118.3499536,2015 Registered Foreclosed Properties.csv
5502027020,3314 W 6TH ST ,"625 S BERENDO ST, 98R, LOS ANGELES CA 90005",38.9715489,-95.2783315,2015 Registered Foreclosed Properties.csv
6003022004,1137 W 61ST ST ,"1137 W 61ST ST, LOS ANGELES CA 90044",41.783041,-87.653642,2015 Registered Foreclosed Properties.csv
7411005111,26139 S FRAMPTON AVE ,"26121 FRAMPTON AVE, E, LOS ANGELES CA 90710",33.7852608,-118.3009295,2015 Registered Foreclosed Properties.csv
5139021038,407 W 12TH ST ,"1111 S GRAND AVE, NO   406, LOS ANGELES CA 90015",37.0238351,-94.7395062,2015 Registered Foreclosed Properties.csv
5007020009,5445 S BRYNHURST AVE ,"5445 BRYNHURST AVE, LOS ANGELES CA 90043",33.991755,-118.333641,2015 Registered Foreclosed Properties.csv
4327013048,10350 W WILSHIRE BLVD ,"10350 WILSHIRE BLVD, UNIT 701, LOS ANGELES CA 90024",35.5510771,-97.7039345,2015 Registered Foreclosed Properties.csv
2210014018,8144 N WILLIS AVE ,"8144 WILLIS AVE, LOS ANGELES CA 91402",41.6050439,-87.4924862,2015 Registered Foreclosed Properties.csv
5094003007,734 S ARDMORE AVE ,"734 S ARDMORE AVE, LOS ANGELES CA 90005",41.875697,-87.978733,2015 Registered Foreclosed Properties.csv
4109030012,7712 S DUNBARTON AVE ,"7712 DUNBARTON AVE, LOS ANGELES CA 90045",33.970798,-118.409647,2015 Registered Foreclosed Properties.csv
6013008009,823 W 69TH ST ,"823 W 69TH ST, LOS ANGELES CA 90044",41.768581,-87.645532,2015 Registered Foreclosed Properties.csv
5082009024,1253 S PLYMOUTH BLVD ,"1251 S PLYMOUTH BLVD, LOS ANGELES CA 90019",34.049659,-118.3301274,2015 Registered Foreclosed Properties.csv
4384017002,9680 W YOAKUM DR ,"9680 YOAKUM DR, LOS ANGELES CA 90210",34.11273,-118.429522,2015 Registered Foreclosed Properties.csv
2748021027,20451 W PLUMMER ST ,"20451 PLUMMER ST, LOS ANGELES CA 91311",34.243031,-118.578924,2015 Registered Foreclosed Properties.csv
5190017011,3442 E 8TH ST ,"3442 E 8TH ST, LOS ANGELES CA 90023",40.4231625,-104.6260688,2015 Registered Foreclosed Properties.csv
5175026005,2009 E BAILEY ST ,"2007 BAILEY ST, LOS ANGELES CA 90033",33.4017572,-110.7779479,2015 Registered Foreclosed Properties.csv
5021019018,1483 W VERNON AVE ,"1481 W VERNON AVE, LOS ANGELES CA 90062",35.2707301,-77.6000344,2015 Registered Foreclosed Properties.csv
2628003016,13071 W OTTOMAN ST ,"13071 OTTOMAN ST, LOS ANGELES CA 91331",34.2370196,-118.417328,2015 Registered Foreclosed Properties.csv
6053008009,124 W 95TH ST ,"122 W 95TH ST, LOS ANGELES CA 90003",41.7219052,-87.627239,2015 Registered Foreclosed Properties.csv
4383008003,9809 W EASTON DR ,"9809 EASTON DR, LOS ANGELES CA 90210",34.109113,-118.431959,2015 Registered Foreclosed Properties.csv
