Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN
50,R&P,378,A,SD,429,E,42ND,PL,GILBERT W LINDSAY COMM CTR,LOS ANGELES,90011,9,674D3,2000,,5113007907
9,POL,18,*,SD,935,E,42ND,PL,RILEY HIGH SCHOOL SITE/L A UNIFIED SHOOL DIST,LOS ANGELES,90011,9,674E3,0,,
25,STM,136,*,,2702,W,42ND,ST,LANDSCAPE MEDIAN ISLAND,,90008,0,,0,,
25,STM,137,*,,2824,W,42ND,ST,LANDSCAPE MEDIAN ISLAND,,90008,0,,0,,
25,STM,947,*,,3308,W,43RD,PL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,0,,0,,
63,VAR,626,*,SD,3328,W,43RD,ST,LEIMERT PARK,LEIMERT PARK,90008,8,673F3,0,,5024019900
19,CUL,15,*,SD,3341,W,43RD,PL,VISION THEATER,Los Angeles,90008,8,673F3,,,5024019006
63,VAR,625,*,SD,3416,W,43RD,ST,LEIMERT PARK,LEIMERT PARK,90008,8,673F3,0,,5024018901
50,R&P,772,B,SD,1224,W,47TH,ST,REC & PARKS SERVICE,,90037,9,674 A4,0,,
50,R&P,772,*,SD,1248,W,47TH,ST,VERMONT SQUARE,LOS ANGELES,90037,9,674A4,0,,
50,R&P,772,A,SD,1250,W,47TH,ST,REC & PARKS SERVICE,,90037,9,674A4,0,,
51,LIB,14,*,SD,1201,W,48TH,ST,VERMONT SQUARE LIBRARY,LOS ANGELES,90037,9,674A4,8000,,5017020900
50,R&P,229,*,SD,2929,W,48TH,ST,48TH ST & 8TH AVE PARK,LOS ANGELES,90043,6,673F4,0,,
47,CDD,88,A,SD,1600,E,4TH,ST,CDD FACILITY,LOS ANGELES,90033,14,634J5,,,5171001900
50,R&P,320,H,SD,2002,E,4TH,ST,HOLLENBECK LAKE PARK,BOYLE HGHTS,90033,14,535A5,,,
50,R&P,500,A,SD,2326,W,4TH,ST,PARKVIEW PHOTO CENTER,LOS ANGELES,90057,1,634C3,0,,
19,CUL,17,*,SD,2332,W,4TH,ST,UNITY ARTS CENTER,LOS ANGELES,90057,1,634C3,5533,,5154036900
50,R&P,500,B,SD,2336,W,4TH,ST,PARKVIEW PHOTO CENTER,LOS ANGELES,90057,1,634C3,,,
50,R&P,208,*,SD,2839,E,4TH,ST,EVERGREEN REC CENTER,BOYLE HGHTS,90033,14,635B5,0,,5180022900
50,R&P,208,C,SD,2841,E,4TH,ST,EVERGREEN REC CENTER,BOYLE HGHTS,90033,14,635B5,0,,5180022900
50,R&P,652,*,SD,3191,W,4TH,ST,SHATTO RECREATION CENTER,LOS ANGELES,90020,4,634A2,0,,
50,R&P,652,A,DF,3209,W,4TH,ST,SHATTO REC CENTER,LOS ANGELES,90020,10,634S2,0,,
50,R&P,668,D,SD,313,E,51ST,ST,REC & PARKS SERVICE,,90011,9,674E4,0,,
50,R&P,668,*,SD,345,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,,
50,R&P,668,A,SD,363,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,,
50,R&P,668,B,SD,367,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,,
50,R&P,668,C,SD,421,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,,
5,FIR,21,C,SD,1166,E,51ST,ST,FIRE STATION #21 - EXTENSION,LOS ANGELES,90011,9,674E3,,,5104001900
5,FIR,21,A,SD,1186,E,51ST,ST,FIRE STATION #21,LOS ANGELES,90011,9,674E4,8250,,5104001900
5,FIR,21,D,SD,1192,E,51ST,ST,FUTURE FIRE STATION # 21,LOS ANGELES,90011,9,674E3,15250,,
5,FIR,21,B,SD,1169,E,52ND,ST,FIRE STATION #21 - EXTENSION,LOS ANGELES,90011,9,674E3,,,5104001900
5,FIR,21,*,SD,1187,E,52ND,ST,FIRE STATION #21,LOS ANGELES,90011,9,674E3,4305,,5104001900
51,LIB,26,*,SD,2700,W,52ND,ST,ANGELES MESA BRANCH LIBRARY,LOS ANGELES,90043,8,673F4,4750,,5006025900
50,R&P,554,*,SD,1801,E,53RD,ST,PUEBLO DEL RIO,LOS ANGELES,90058,9,674H4,0,,
50,R&P,108,*,SD,1950,W,54TH,ST,CHESTERFIELD SQUARE PARK,LOS ANGELES,90043,8,673H5,0,,5005019900
