row	Park Property	Sub-Park Name	Address	City	Zip	Rgn.	CD 1	CD 2	CD 3	Acreage	Sub Acreage	Board Report #	Acquisition Date	Thomas Guide	Former/Alternate Name	APN	Comments	Part ofÌä
97	COMMUNITY BUILD YOUTH CENTER EXPANSION		8742 & 8750 S. VERMONT AVE.			P	8			0.21				704-A2				
98	CORBIN CANYON PARK		CONCORD AVE & LOWELL AVE.			V	3			40.51				560-E4				
99	COSTANSO FIRE STATION 84 PARK (formerly OLD FIRE STATION 84 POCKET PK)		5340 CANOGA AVE.			V	3			0.36				560-B2				
100	COUNTRY CLUB PARK HERITAGE PLAZA       (formerly WILTON PLACE PARK)		1015 S. WILTON PL.			W	10			0.08				633-G4				
101	CRESCENT PLACE TRIANGLE		1646 S. CRESCENT PL.              			P	11			0.02				671-J5				
102	CRESTWOOD HILLS PARK		1000 N. HANLEY AVE.			P	11			15.78				631-E1				
103	CULVER/SLAUSON PARK		5070 S. SLAUSON AVE.			P	11			3.27				672-F5				
104	CURTIS (ROLLAND) PARK		1287 W. 38TH PLACE			P	8			0.09				673-J2				
105	CYPRESS PARK LIBRARY		3320 E. PEPPER AVE.			M	1			0.18				594-J5				
106	CYPRESS RECREATION CENTER		2630 E. PEPPER AVE.			M	1			3.49				594-J5				
107	DANIELS (RALPH C.) FIELD SPORTS CENTER		845 W. 12TH ST.			P	15			3.59				824-B6				
108	DECKER CANYON CAMP		3133 S. DECKER CANYON RD				NA			18.46				626-C5				
109	DE GARMO PARK		10145 W. ARMINTA ST.			V	2			1.64				533-B2	FORMERLY THE BURBANK WESTERN SYSTEM CHANNEL OF THE L. A. COUNTY FLOOD CONTROL DIST.			
110	DE LONGPRE PARK		1350 N. CHEROKEE AVE.			M	4			1.37				593-E5				
111	DE NEVE SQUARE PARK		314 S. BEVERLY GLEN BLVD.			P	5			0.61				592-C7				
112	DEARBORN PARK		17141 W. NORDHOFF ST.			V	12			9.12				501-C7				
113	DEBS (ERNEST E.) REGIONAL PARK		4235 N. MONTEREY RD.			M	1	14		318.62				595-C4				
114	* Sub-Park (DEBS (ERNEST E.) Reg Pk)	ROSE HILL PARK	3606 N. BOUNDARY AVE.			M	14				25.83			595-C6				
115	DEERVALE - STONE CANYON PARK		14890 VALLEY VISTA BLVD.			V	4			79.4				561-J6				
116	DEL REY LAGOON		6660 S. ESPLANADE PL.			W	11			10.99				702-A3				
117	DELANO RECREATION CENTER		15100 W. ERWIN ST.			V	6			4.45				531-H7				
118	DENKER AND TORRANCE POCKET PARK		1490 W. TORRANCE BLVD.			P	15			0.15				763-J5				
119	DENKER RECREATION CENTER 		1550 W. 35TH PLACE			P	8			2.81				673-J1				
120	DEVONSHIRE/ARLETA PARK		14215 W. DEVONSHIRE ST.			V	6			1.82				502-A4				
121	DEVONWOOD PARK		10230 N. WOODMAN AVE.			V	7			4.84				501-J4				
122	DIXON (JULIAN C.) PARK		4800 S. HOOVER ST.			P	9			0.96				674-B4				
123	DOCKWEILER (ISIDORE B.) STATE BEACH		8255 S. VISTA DEL MAR			P	11			228.31				702-B5				
124	DOWNEY RECREATION CENTER		1772 N. SPRING ST.			M	1			4.52				634-J1				
125	* Sub-Park (Downey Rec Ctr)	DOWNEY POOL	1775 N. SPRING ST.			M	1				1.04			634-J1				
126	DREW ST.		3304 N. DREW ST.			G	13			0.11				594-G-1				
127	DRUM BARRACKS  CIVIL WAR MUSEUM		1052 N. BANNING BLVD.			P	15			0.54				794-F6				
128	* Sub-Park (Drum Barracks Civil War Museum)         (expansion-banning lots)	"DBCWM ""Warren Property Addition"" (Unofficial Name)"	1037-1041 N. BANNING BLVD. 			P	15			0.39				794-F6				
129	E STREET		121 E. E STREET				15			0.11				794-E7				
130	EAGLE ROCK CITY HALL		2035 W. COLORAD0 BLVD.			M	14			0.32				565-A6				
131	EAGLE ROCK HILLSIDE PARK		N. OF VENTURA FWY.,                 S. OF VALLE VISTA			M	14			27.58				565-B4				
132	EAGLE ROCK HISTORICAL LANDMARK		701-717 W. EAGLE ROCK VIEW DR.			M	14			2.17				565-D5				
133	EAGLE ROCK RECREATION CENTER		1100 W. EAGLE VISTA DR.			M	14			20.68				565-D5				
134	EAST LOS ANGELES (ELA) PARK		3160 E. MINNESOTA ST.			M	1			0.32				595-B1				
135	EAST WILMINGTON GREENBELT COMMUNITY CENTER		918 N. SANFORD AVE.			P	15			0.85				794-G6				
136	EAST WILMINGTON VEST-POCKET PARK		"1300 E. ""O"" ST."			P	15			0.13				794-G4				
137	ECHO PARK		751 N. ECHO PARK BLVD.			M	13			28.41				634-E1				
138	ECHO PARK (DEEP) POOL		1419 W. COLTON ST.			M	1			2.07				634-E2				
139	EDDLESTON PARK		11820 N. RESEDA BLVD.			V	12			6.31				480-J7				
140	EL DORADO AVENUE PARK		11349 N. EL DORADO AVE.			V	7			1.18				502-B1				
141	EL ESCORPION PARK		6801 N. SUNSET RIDGE CT.			V	12			61.29				529-C5				
142	EL PASEO DE CAHUENGA PARK		3300 N. CAHUENGA BLVD.			V	4			1.29				563-C7				
143	EL PUEBLO DE  LOS ANGELES  HISTORIC MONUMENT		845 N. ALAMEDA ST.			M	14			2.03				634-G3				
144	* Sub-Park (El Pueblo de LA His Mon)	LOS ANGELES PLAZA PARK	125 E. PASEO DE LA PLAZA			M	14				0.8			634-G3				
145	EL SERENO ARROYO PLAYGROUND		CONCORD AVE & LOWELL AVE.			M	14			0.82			1/23/12	595-G7				
146	EL SERENO COMMUNITY GARDEN		5450 E. HUNTINGTON DR.			M	14			0.77				595-G5				
147	EL SERENO NORTH PARK		4410 N. GARDEN HOMES AVE.			M	14			3.08				595-F4				
148	EL SERENO RECREATION CENTER		4721 E. KLAMATH ST.			M	14			13.94				595-E7				
149	EL SERENO SENIOR CITIZEN CENTER		4818 E. KLAMATH PLACE			M	14			0.91				595-E7				
150	ELYSIAN PARK		929 W. ACADEMY RD.			M	1			544.71				594-F7				
151	* Sub-Park (Elysian Park)	ELYSIAN PARK - RIVERSIDE EXPANSION	1800 W. RIVERSIDE DR.			M	13				18.34			594-F7				
152	ELYSIAN VALLEY RECREATION CENTER		1811 W. RIPPLE ST.			M	13			1.99				594-F4				
153	ENCINO PARK		16953 W. VENTURA BLVD			V	5			5.27				561-D3				
154	* Sub-Park (Encino Park )	ENCINO COMMUNITY CENTER	4935 N. BALBOA BLVD.			V	5				0.93			561-D3				
155	* Sub-Park (Encino Park )	ENCINO WOMEN'S CLUB	4924 N. PASO ROBLES AVE.			V	5				0.26			561-D3				
156	EVERETT PARK		1010 N. EVERETT ST.                          			M	1			0.53				634-F1				
157	EVERGREEN RECREATION CENTER 		2839 E. 4TH ST.			M	14			6.66				635-B5				
158	EXPO CENTER		3980 MENLO AVE.			P	9			6.65				674-A2				
159	EXPOSITION PARK ROSE GARDEN		701 W. STATE DR.			P	9			10.39				674-B2				
160	EXPO-WESTWOOD NEIGHBORHOOD GREENWAY		WESTWOOD BLVD & OVERLAND AVE.			M	5			0.8								
